tree_type,canonical_scenario,scenario_family,scenario_family_detailed,is_ordered_prehashed,scale_label,run_count,run_ids,raw_scenarios,schema_variants,missing_optional_columns,coverage_note
smt,proof_only_after_100k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,100K,10,total_ref_5_smt,proof_only_after_100k_build_sample_5pct,current,,multiple_rows_within_run
smt,build_200k_then_add_40k_new,build_then_add_new,build_then_add_new,False,200K,10,total_ref_5_smt,build_200k_then_add_40k_new,current,,multiple_rows_within_run
smt,build_200k_then_reinsert_40k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,200K,10,total_ref_5_smt,build_200k_then_reinsert_40k_existing,current,,multiple_rows_within_run
smt,exclusion_proof_only_after_200k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,200K,10,total_ref_7_exclusion_only_smt,exclusion_proof_only_after_200k_build_sample_5pct,current,,multiple_rows_within_run
smt,insert_only_build_200k,insert_only_build,insert_only_build,False,200K,10,total_ref_5_smt,insert_only_build_200k,current,,multiple_rows_within_run
smt,prehashed_ordered_insert_only_200k,insert_only_build,prehashed_ordered_insert_only,True,200K,10,total_ref_5_smt,prehashed_ordered_insert_only_200k,current,,multiple_rows_within_run
smt,proof_only_after_200k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,200K,10,total_ref_5_smt,proof_only_after_200k_build_sample_5pct,current,,multiple_rows_within_run
smt,build_300k_then_add_60k_new,build_then_add_new,build_then_add_new,False,300K,10,total_ref_5_smt,build_300k_then_add_60k_new,current,,multiple_rows_within_run
smt,build_300k_then_reinsert_60k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,300K,10,total_ref_5_smt,build_300k_then_reinsert_60k_existing,current,,multiple_rows_within_run
smt,exclusion_proof_only_after_300k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,300K,10,total_ref_7_exclusion_only_smt,exclusion_proof_only_after_300k_build_sample_5pct,current,,multiple_rows_within_run
smt,insert_only_build_300k,insert_only_build,insert_only_build,False,300K,10,total_ref_5_smt,insert_only_build_300k,current,,multiple_rows_within_run
smt,prehashed_ordered_insert_only_300k,insert_only_build,prehashed_ordered_insert_only,True,300K,10,total_ref_5_smt,prehashed_ordered_insert_only_300k,current,,multiple_rows_within_run
smt,proof_only_after_300k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,300K,10,total_ref_5_smt,proof_only_after_300k_build_sample_5pct,current,,multiple_rows_within_run
smt,build_500k_then_add_100k_new,build_then_add_new,build_then_add_new,False,500K,10,total_ref_5_smt,build_500k_then_add_100k_new,current,,multiple_rows_within_run
smt,build_500k_then_reinsert_100k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,500K,10,total_ref_5_smt,build_500k_then_reinsert_100k_existing,current,,multiple_rows_within_run
smt,exclusion_proof_only_after_500k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,500K,10,total_ref_7_exclusion_only_smt,exclusion_proof_only_after_500k_build_sample_5pct,current,,multiple_rows_within_run
smt,insert_only_build_500k,insert_only_build,insert_only_build,False,500K,10,total_ref_5_smt,insert_only_build_500k,current,,multiple_rows_within_run
smt,prehashed_ordered_insert_only_500k,insert_only_build,prehashed_ordered_insert_only,True,500K,10,total_ref_5_smt,prehashed_ordered_insert_only_500k,current,,multiple_rows_within_run
smt,proof_only_after_500k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,500K,10,total_ref_5_smt,proof_only_after_500k_build_sample_5pct,current,,multiple_rows_within_run
smt,build_700k_then_add_140k_new,build_then_add_new,build_then_add_new,False,700K,10,total_ref_5_smt,build_700k_then_add_140k_new,current,,multiple_rows_within_run
smt,build_700k_then_reinsert_140k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,700K,10,total_ref_5_smt,build_700k_then_reinsert_140k_existing,current,,multiple_rows_within_run
smt,exclusion_proof_only_after_700k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,700K,10,total_ref_7_exclusion_only_smt,exclusion_proof_only_after_700k_build_sample_5pct,current,,multiple_rows_within_run
smt,insert_only_build_700k,insert_only_build,insert_only_build,False,700K,10,total_ref_5_smt,insert_only_build_700k,current,,multiple_rows_within_run
smt,prehashed_ordered_insert_only_700k,insert_only_build,prehashed_ordered_insert_only,True,700K,10,total_ref_5_smt,prehashed_ordered_insert_only_700k,current,,multiple_rows_within_run
smt,proof_only_after_700k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,700K,10,total_ref_5_smt,proof_only_after_700k_build_sample_5pct,current,,multiple_rows_within_run
smt,build_900k_then_add_180k_new,build_then_add_new,build_then_add_new,False,900K,10,total_ref_5_smt,build_900k_then_add_180k_new,current,,multiple_rows_within_run
smt,build_900k_then_reinsert_180k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,900K,10,total_ref_5_smt,build_900k_then_reinsert_180k_existing,current,,multiple_rows_within_run
smt,exclusion_proof_only_after_900k_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,900K,10,total_ref_7_exclusion_only_smt,exclusion_proof_only_after_900k_build_sample_5pct,current,,multiple_rows_within_run
smt,insert_only_build_900k,insert_only_build,insert_only_build,False,900K,10,total_ref_5_smt,insert_only_build_900k,current,,multiple_rows_within_run
smt,prehashed_ordered_insert_only_900k,insert_only_build,prehashed_ordered_insert_only,True,900K,10,total_ref_5_smt,prehashed_ordered_insert_only_900k,current,,multiple_rows_within_run
smt,proof_only_after_900k_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,900K,10,total_ref_5_smt,proof_only_after_900k_build_sample_5pct,current,,multiple_rows_within_run
smt,build_1m_then_add_200k_new,build_then_add_new,build_then_add_new,False,1M,10,total_ref_5_smt,build_1m_then_add_200k_new,current,,multiple_rows_within_run
smt,build_1m_then_reinsert_200k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,1M,10,total_ref_5_smt,build_1m_then_reinsert_200k_existing,current,,multiple_rows_within_run
smt,exclusion_proof_only_after_1m_build_sample_5pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,1M,10,total_ref_7_exclusion_only_smt,exclusion_proof_only_after_1m_build_sample_5pct,current,,multiple_rows_within_run
smt,insert_only_build_1m,insert_only_build,insert_only_build,False,1M,10,total_ref_5_smt,insert_only_build_1m,current,,multiple_rows_within_run
smt,prehashed_ordered_insert_only_1m,insert_only_build,prehashed_ordered_insert_only,True,1M,10,total_ref_5_smt,prehashed_ordered_insert_only_1m,current,,multiple_rows_within_run
smt,proof_only_after_1m_build_sample_5pct,proof_only_after_build,proof_only_after_build,False,1M,10,total_ref_5_smt,proof_only_after_1m_build_sample_5pct,current,,multiple_rows_within_run
smt,build_2m_then_add_400k_new,build_then_add_new,build_then_add_new,False,2M,10,total_ref_5_smt,build_2m_then_add_400k_new,current,,multiple_rows_within_run
smt,build_2m_then_reinsert_400k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,2M,10,total_ref_5_smt,build_2m_then_reinsert_400k_existing,current,,multiple_rows_within_run
smt,exclusion_proof_only_after_2m_build_sample_3pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,2M,10,total_ref_7_exclusion_only_smt,exclusion_proof_only_after_2m_build_sample_3pct,current,,multiple_rows_within_run
smt,insert_only_build_2m,insert_only_build,insert_only_build,False,2M,10,total_ref_5_smt,insert_only_build_2m,current,,multiple_rows_within_run
smt,prehashed_ordered_insert_only_2m,insert_only_build,prehashed_ordered_insert_only,True,2M,10,total_ref_5_smt,prehashed_ordered_insert_only_2m,current,,multiple_rows_within_run
smt,proof_only_after_2m_build_sample_3pct,proof_only_after_build,proof_only_after_build,False,2M,10,total_ref_5_smt,proof_only_after_2m_build_sample_3pct,current,,multiple_rows_within_run
smt,build_5m_then_add_1m_new,build_then_add_new,build_then_add_new,False,5M,10,total_ref_5_smt,build_5m_then_add_1m_new,current,,multiple_rows_within_run
smt,build_5m_then_reinsert_1m_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,5M,10,total_ref_5_smt,build_5m_then_reinsert_1m_existing,current,,multiple_rows_within_run
smt,exclusion_proof_only_after_5m_build_sample_3pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,5M,10,total_ref_7_exclusion_only_smt,exclusion_proof_only_after_5m_build_sample_3pct,current,,multiple_rows_within_run
smt,insert_only_build_5m,insert_only_build,insert_only_build,False,5M,10,total_ref_5_smt,insert_only_build_5m,current,,multiple_rows_within_run
smt,prehashed_ordered_insert_only_5m,insert_only_build,prehashed_ordered_insert_only,True,5M,10,total_ref_5_smt,prehashed_ordered_insert_only_5m,current,,multiple_rows_within_run
smt,proof_only_after_5m_build_sample_3pct,proof_only_after_build,proof_only_after_build,False,5M,10,total_ref_5_smt,proof_only_after_5m_build_sample_3pct,current,,multiple_rows_within_run
smt,build_10m_then_add_2m_new,build_then_add_new,build_then_add_new,False,10M,10,total_ref_5_smt,build_10m_then_add_2m_new,current,,multiple_rows_within_run
smt,build_10m_then_reinsert_2m_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,10M,10,total_ref_5_smt,build_10m_then_reinsert_2m_existing,current,,multiple_rows_within_run
smt,exclusion_proof_only_after_10m_build_sample_2pct,exclusion_proof_only_after_build,exclusion_proof_only_after_build,False,10M,10,total_ref_7_exclusion_only_smt,exclusion_proof_only_after_10m_build_sample_2pct,current,,multiple_rows_within_run
smt,insert_only_build_10m,insert_only_build,insert_only_build,False,10M,10,total_ref_5_smt,insert_only_build_10m,current,,multiple_rows_within_run
smt,prehashed_ordered_insert_only_10m,insert_only_build,prehashed_ordered_insert_only,True,10M,10,total_ref_5_smt,prehashed_ordered_insert_only_10m,current,,multiple_rows_within_run
smt,proof_only_after_10m_build_sample_2pct,proof_only_after_build,proof_only_after_build,False,10M,10,total_ref_5_smt,proof_only_after_10m_build_sample_2pct,current,,multiple_rows_within_run
