tree_type,canonical_scenario,scenario_family,scenario_family_detailed,is_ordered_prehashed,scale_size,scale_label,final_scale,prebuild_scale,measured_insert_scale,bucket_start_pct,bucket_end_pct,bucket_mid_pct,run_count,avg_duration_ns,avg_duration_ns_p10,avg_duration_ns_p90,sample_count,sample_count_p10,sample_count_p90
avlhashtree,build_50k_then_reinsert_10k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,50000,50K,50000,50000,10000,80,90,85.0,10,2038.5,1953.6,2079.9,1000,1000,1000
avlhashtree,insert_only_build_50k,insert_only_build,insert_only_build,False,50000,50K,50000,0,50000,90,100,95.0,10,2502.0,2423.5,2574.6,5000,5000,5000
avlhashtree,prehashed_ordered_insert_only_50k,insert_only_build,prehashed_ordered_insert_only,True,50000,50K,50000,0,50000,90,100,95.0,10,2298.5,2267.5,2346.3,5000,5000,5000
avlhashtree,build_50k_then_add_10k_new,build_then_add_new,build_then_add_new,False,50000,50K,60000,50000,10000,90,100,95.0,10,2632.5,2494.3,2705.3,1000,1000,1000
avlhashtree,build_50k_then_reinsert_10k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,50000,50K,50000,50000,10000,90,100,95.0,10,2041.5,2011.2999999999997,2175.0,1000,1000,1000
avlhashtree,insert_only_build_100k,insert_only_build,insert_only_build,False,100000,100K,100000,0,100000,0,10,5.0,10,2031.5,1977.2,2168.9999999999995,10000,10000,10000
avlhashtree,prehashed_ordered_insert_only_100k,insert_only_build,prehashed_ordered_insert_only,True,100000,100K,100000,0,100000,0,10,5.0,10,2023.0,1986.8,2046.5,10000,10000,10000
avlhashtree,build_100k_then_add_20k_new,build_then_add_new,build_then_add_new,False,100000,100K,120000,100000,20000,0,10,5.0,10,3064.5,2898.7,3166.7,2000,2000,2000
avlhashtree,build_100k_then_reinsert_20k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,100000,100K,100000,100000,20000,0,10,5.0,10,1932.5,1867.2,1978.8,2000,2000,2000
avlhashtree,insert_only_build_100k,insert_only_build,insert_only_build,False,100000,100K,100000,0,100000,10,20,15.0,10,2320.5,2286.2,2437.0,10000,10000,10000
avlhashtree,prehashed_ordered_insert_only_100k,insert_only_build,prehashed_ordered_insert_only,True,100000,100K,100000,0,100000,10,20,15.0,10,2095.0,2037.3999999999999,2184.6,10000,10000,10000
avlhashtree,build_100k_then_add_20k_new,build_then_add_new,build_then_add_new,False,100000,100K,120000,100000,20000,10,20,15.0,10,2939.0,2853.1,3018.1,2000,2000,2000
avlhashtree,build_100k_then_reinsert_20k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,100000,100K,100000,100000,20000,10,20,15.0,10,2039.0,1983.0,2138.5,2000,2000,2000
avlhashtree,insert_only_build_100k,insert_only_build,insert_only_build,False,100000,100K,100000,0,100000,20,30,25.0,10,2342.0,2301.5,2459.5,10000,10000,10000
avlhashtree,prehashed_ordered_insert_only_100k,insert_only_build,prehashed_ordered_insert_only,True,100000,100K,100000,0,100000,20,30,25.0,10,2242.5,2181.5,2291.1,10000,10000,10000
avlhashtree,build_100k_then_add_20k_new,build_then_add_new,build_then_add_new,False,100000,100K,120000,100000,20000,20,30,25.0,10,2935.0,2814.2,3046.6,2000,2000,2000
avlhashtree,build_100k_then_reinsert_20k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,100000,100K,100000,100000,20000,20,30,25.0,10,2115.5,2049.6,2226.0,2000,2000,2000
avlhashtree,insert_only_build_100k,insert_only_build,insert_only_build,False,100000,100K,100000,0,100000,30,40,35.0,10,2550.5,2492.8,2649.1,10000,10000,10000
avlhashtree,prehashed_ordered_insert_only_100k,insert_only_build,prehashed_ordered_insert_only,True,100000,100K,100000,0,100000,30,40,35.0,10,2263.5,2208.6,2375.1,10000,10000,10000
avlhashtree,build_100k_then_add_20k_new,build_then_add_new,build_then_add_new,False,100000,100K,120000,100000,20000,30,40,35.0,10,2961.5,2837.2,3034.0,2000,2000,2000
avlhashtree,build_100k_then_reinsert_20k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,100000,100K,100000,100000,20000,30,40,35.0,10,2150.5,2107.2,2209.0,2000,2000,2000
avlhashtree,insert_only_build_100k,insert_only_build,insert_only_build,False,100000,100K,100000,0,100000,40,50,45.0,10,2479.0,2410.9,2526.0,10000,10000,10000
avlhashtree,prehashed_ordered_insert_only_100k,insert_only_build,prehashed_ordered_insert_only,True,100000,100K,100000,0,100000,40,50,45.0,10,2358.5,2295.2,2426.9,10000,10000,10000
avlhashtree,build_100k_then_add_20k_new,build_then_add_new,build_then_add_new,False,100000,100K,120000,100000,20000,40,50,45.0,10,2910.5,2796.9,2941.2,2000,2000,2000
