scenario_family,metric,scale_size,scale_label,measured_insert_scale,final_scale,proof_sample_pct,avl_value,smt_value,avl_over_smt_ratio,leader
proof_only_after_build,inclusion_proof_gen_avg_ns,10000,10K,0,10000,5,528.0,1362.0,0.3876651982378855,avlhashtree
proof_only_after_build,inclusion_proof_gen_avg_ns,50000,50K,0,50000,5,546.0,1549.0,0.3524854744996772,avlhashtree
proof_only_after_build,inclusion_proof_gen_avg_ns,100000,100K,0,100000,5,608.0,1988.0,0.3058350100603622,avlhashtree
proof_only_after_build,inclusion_proof_gen_avg_ns,200000,200K,0,200000,5,781.0,2418.0,0.3229942100909843,avlhashtree
proof_only_after_build,inclusion_proof_gen_avg_ns,300000,300K,0,300000,5,977.0,3272.0,0.2985941320293399,avlhashtree
proof_only_after_build,inclusion_proof_gen_avg_ns,500000,500K,0,500000,5,1298.0,3584.0,0.36216517857142855,avlhashtree
proof_only_after_build,inclusion_proof_gen_avg_ns,700000,700K,0,700000,5,1438.0,3619.0,0.3973473335175463,avlhashtree
proof_only_after_build,inclusion_proof_gen_avg_ns,900000,900K,0,900000,5,1558.0,3910.0,0.39846547314578007,avlhashtree
proof_only_after_build,inclusion_proof_gen_avg_ns,1000000,1M,0,1000000,5,1580.0,3815.0,0.41415465268676277,avlhashtree
proof_only_after_build,inclusion_proof_gen_avg_ns,2000000,2M,0,2000000,3,1890.0,4214.0,0.4485049833887043,avlhashtree
proof_only_after_build,inclusion_proof_gen_avg_ns,5000000,5M,0,5000000,3,2234.0,4712.0,0.4741086587436333,avlhashtree
proof_only_after_build,inclusion_proof_gen_avg_ns,10000000,10M,0,10000000,2,2494.0,5227.0,0.4771379376315286,avlhashtree
proof_only_after_build,inclusion_proof_gen_avg_ns,25000000,25M,0,25000000,2,3520.0,9414.0,0.3739111960909284,avlhashtree
proof_only_after_build,inclusion_proof_verify_avg_ns,10000,10K,0,10000,5,3971.0,3083.0,1.2880311385014596,smt
proof_only_after_build,inclusion_proof_verify_avg_ns,50000,50K,0,50000,5,4123.0,3550.0,1.1614084507042253,smt
proof_only_after_build,inclusion_proof_verify_avg_ns,100000,100K,0,100000,5,4382.0,4136.0,1.059477756286267,smt
proof_only_after_build,inclusion_proof_verify_avg_ns,200000,200K,0,200000,5,4686.0,4604.0,1.017810599478714,smt
proof_only_after_build,inclusion_proof_verify_avg_ns,300000,300K,0,300000,5,4938.0,5020.0,0.9836653386454183,avlhashtree
proof_only_after_build,inclusion_proof_verify_avg_ns,500000,500K,0,500000,5,5322.0,5282.0,1.0075728890571753,smt
proof_only_after_build,inclusion_proof_verify_avg_ns,700000,700K,0,700000,5,5374.0,5040.0,1.0662698412698413,smt
proof_only_after_build,inclusion_proof_verify_avg_ns,900000,900K,0,900000,5,5456.0,5472.0,0.9970760233918129,avlhashtree
proof_only_after_build,inclusion_proof_verify_avg_ns,1000000,1M,0,1000000,5,5532.0,5416.0,1.0214180206794683,smt
proof_only_after_build,inclusion_proof_verify_avg_ns,2000000,2M,0,2000000,3,6136.0,5884.0,1.042828008157716,smt
proof_only_after_build,inclusion_proof_verify_avg_ns,5000000,5M,0,5000000,3,6542.0,6413.0,1.0201153906128178,smt
proof_only_after_build,inclusion_proof_verify_avg_ns,10000000,10M,0,10000000,2,6659.0,7518.0,0.8857408885341846,avlhashtree
proof_only_after_build,inclusion_proof_verify_avg_ns,25000000,25M,0,25000000,2,9102.0,8534.0,1.066557300210921,smt
proof_only_after_build,inclusion_proof_size_bytes,10000,10K,0,10000,5,1578.0,632.0,2.4968354430379747,smt
proof_only_after_build,inclusion_proof_size_bytes,50000,50K,0,50000,5,1855.0,721.0,2.5728155339805827,smt
proof_only_after_build,inclusion_proof_size_bytes,100000,100K,0,100000,5,1976.0,758.0,2.6068601583113455,smt
proof_only_after_build,inclusion_proof_size_bytes,200000,200K,0,200000,5,2098.0,796.0,2.635678391959799,smt
proof_only_after_build,inclusion_proof_size_bytes,300000,300K,0,300000,5,2168.0,819.0,2.647130647130647,smt
proof_only_after_build,inclusion_proof_size_bytes,500000,500K,0,500000,5,2257.0,847.0,2.66469893742621,smt
proof_only_after_build,inclusion_proof_size_bytes,700000,700K,0,700000,5,2316.0,865.0,2.677456647398844,smt
proof_only_after_build,inclusion_proof_size_bytes,900000,900K,0,900000,5,2360.0,879.0,2.6848691695108076,smt
proof_only_after_build,inclusion_proof_size_bytes,1000000,1M,0,1000000,5,2380.0,884.0,2.6923076923076925,smt
proof_only_after_build,inclusion_proof_size_bytes,2000000,2M,0,2000000,3,2499.0,922.0,2.710412147505423,smt
proof_only_after_build,inclusion_proof_size_bytes,5000000,5M,0,5000000,3,2663.0,973.0,2.736896197327852,smt
proof_only_after_build,inclusion_proof_size_bytes,10000000,10M,0,10000000,2,2780.0,1011.0,2.7497527200791296,smt
proof_only_after_build,inclusion_proof_size_bytes,25000000,25M,0,25000000,2,2944.0,1061.0,2.774740810556079,smt
exclusion_proof_only_after_build,exclusion_proof_gen_avg_ns,10000,10K,0,10000,5,666.0,2555.0,0.26066536203522506,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_gen_avg_ns,50000,50K,0,50000,5,702.0,2863.0,0.2451973454418442,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_gen_avg_ns,100000,100K,0,100000,5,763.0,3825.0,0.19947712418300653,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_gen_avg_ns,200000,200K,0,200000,5,1228.0,4297.0,0.28578077728647894,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_gen_avg_ns,300000,300K,0,300000,5,1438.0,4576.0,0.3142482517482518,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_gen_avg_ns,500000,500K,0,500000,5,1856.0,5617.0,0.3304254940359623,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_gen_avg_ns,700000,700K,0,700000,5,1793.0,5700.0,0.31456140350877193,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_gen_avg_ns,900000,900K,0,900000,5,1924.0,5114.0,0.37622213531482207,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_gen_avg_ns,1000000,1M,0,1000000,5,1960.0,4530.0,0.4326710816777042,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_gen_avg_ns,2000000,2M,0,2000000,3,2635.0,6868.0,0.38366336633663367,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_gen_avg_ns,5000000,5M,0,5000000,3,3005.0,7580.0,0.39643799472295516,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_gen_avg_ns,10000000,10M,0,10000000,2,3442.0,8356.0,0.41191957874581137,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_gen_avg_ns,25000000,25M,0,25000000,2,4128.0,9406.0,0.4388688071443759,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_verify_avg_ns,10000,10K,0,10000,5,4533.0,7427.0,0.6103406489834388,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_verify_avg_ns,50000,50K,0,50000,5,4908.0,7840.0,0.6260204081632653,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_verify_avg_ns,100000,100K,0,100000,5,5123.0,9224.0,0.5553989592367736,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_verify_avg_ns,200000,200K,0,200000,5,5475.0,10120.0,0.54100790513834,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_verify_avg_ns,300000,300K,0,300000,5,5646.0,11090.0,0.509107303877367,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_verify_avg_ns,500000,500K,0,500000,5,6020.0,12499.0,0.4816385310824866,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_verify_avg_ns,700000,700K,0,700000,5,6014.0,12199.0,0.492991228789245,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_verify_avg_ns,900000,900K,0,900000,5,6534.0,12729.0,0.5133160499646476,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_verify_avg_ns,1000000,1M,0,1000000,5,6332.0,12170.0,0.5202958093672966,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_verify_avg_ns,2000000,2M,0,2000000,3,8304.0,13296.0,0.6245487364620939,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_verify_avg_ns,5000000,5M,0,5000000,3,8886.0,14691.0,0.6048601184398611,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_verify_avg_ns,10000000,10M,0,10000000,2,9434.0,14942.0,0.6313746486414135,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_verify_avg_ns,25000000,25M,0,25000000,2,10040.0,16729.0,0.6001554187339351,avlhashtree
exclusion_proof_only_after_build,exclusion_proof_size_bytes,10000,10K,0,10000,5,1672.0,593.0,2.8195615514333894,smt
exclusion_proof_only_after_build,exclusion_proof_size_bytes,50000,50K,0,50000,5,1952.0,681.0,2.866372980910426,smt
exclusion_proof_only_after_build,exclusion_proof_size_bytes,100000,100K,0,100000,5,2069.0,718.0,2.881615598885794,smt
exclusion_proof_only_after_build,exclusion_proof_size_bytes,200000,200K,0,200000,5,2189.0,757.0,2.891677675033025,smt
exclusion_proof_only_after_build,exclusion_proof_size_bytes,300000,300K,0,300000,5,2257.0,779.0,2.897304236200257,smt
exclusion_proof_only_after_build,exclusion_proof_size_bytes,500000,500K,0,500000,5,2347.0,807.0,2.9083023543990087,smt
exclusion_proof_only_after_build,exclusion_proof_size_bytes,700000,700K,0,700000,5,2408.0,825.0,2.918787878787879,smt
exclusion_proof_only_after_build,exclusion_proof_size_bytes,900000,900K,0,900000,5,2452.0,839.0,2.9225268176400476,smt
exclusion_proof_only_after_build,exclusion_proof_size_bytes,1000000,1M,0,1000000,5,2469.0,845.0,2.9218934911242602,smt
exclusion_proof_only_after_build,exclusion_proof_size_bytes,2000000,2M,0,2000000,3,2590.0,883.0,2.933182332955832,smt
exclusion_proof_only_after_build,exclusion_proof_size_bytes,5000000,5M,0,5000000,3,2754.0,933.0,2.9517684887459805,smt
exclusion_proof_only_after_build,exclusion_proof_size_bytes,10000000,10M,0,10000000,2,2871.0,971.0,2.956745623069001,smt
exclusion_proof_only_after_build,exclusion_proof_size_bytes,25000000,25M,0,25000000,2,3035.0,1022.0,2.9696673189823874,smt
build_then_add_new,insert_avg_ns,10000,10K,2000,12000,,2179.0,2468.0,0.88290113452188,avlhashtree
build_then_add_new,insert_avg_ns,50000,50K,10000,60000,,2574.0,3307.0,0.7783489567583913,avlhashtree
build_then_add_new,insert_avg_ns,100000,100K,20000,120000,,2932.0,3822.0,0.7671376242804814,avlhashtree
build_then_add_new,insert_avg_ns,200000,200K,40000,240000,,3189.0,4517.0,0.7059995572282488,avlhashtree
build_then_add_new,insert_avg_ns,300000,300K,60000,360000,,3746.0,4687.0,0.7992319180712609,avlhashtree
build_then_add_new,insert_avg_ns,500000,500K,100000,600000,,4156.0,5248.0,0.791920731707317,avlhashtree
build_then_add_new,insert_avg_ns,700000,700K,140000,840000,,4542.0,5742.0,0.7910135841170324,avlhashtree
build_then_add_new,insert_avg_ns,900000,900K,180000,1080000,,4859.0,5688.0,0.854254571026723,avlhashtree
build_then_add_new,insert_avg_ns,1000000,1M,200000,1200000,,5051.0,5950.0,0.8489075630252101,avlhashtree
build_then_add_new,insert_avg_ns,2000000,2M,400000,2400000,,5669.0,6560.0,0.8641768292682926,avlhashtree
build_then_add_new,insert_avg_ns,5000000,5M,1000000,6000000,,6603.0,7364.0,0.8966594242259641,avlhashtree
build_then_add_new,insert_avg_ns,10000000,10M,2000000,12000000,,7322.0,8344.0,0.87751677852349,avlhashtree
build_then_add_new,insert_avg_ns,25000000,25M,5000000,30000000,,8673.0,10202.0,0.850127425994903,avlhashtree
build_then_reinsert_existing,insert_avg_ns,10000,10K,2000,10000,,1635.0,2351.0,0.6954487452148023,avlhashtree
build_then_reinsert_existing,insert_avg_ns,50000,50K,10000,50000,,1974.0,3152.0,0.626269035532995,avlhashtree
build_then_reinsert_existing,insert_avg_ns,100000,100K,20000,100000,,2154.0,3718.0,0.5793437331898871,avlhashtree
build_then_reinsert_existing,insert_avg_ns,200000,200K,40000,200000,,2474.0,4062.0,0.6090595765632694,avlhashtree
build_then_reinsert_existing,insert_avg_ns,300000,300K,60000,300000,,2894.0,4300.0,0.6730232558139535,avlhashtree
build_then_reinsert_existing,insert_avg_ns,500000,500K,100000,500000,,3228.0,4746.0,0.6801517067003793,avlhashtree
build_then_reinsert_existing,insert_avg_ns,700000,700K,140000,700000,,3382.0,5074.0,0.6665352778872684,avlhashtree
build_then_reinsert_existing,insert_avg_ns,900000,900K,180000,900000,,3597.0,5349.0,0.6724621424565339,avlhashtree
build_then_reinsert_existing,insert_avg_ns,1000000,1M,200000,1000000,,3668.0,5452.0,0.6727806309611152,avlhashtree
build_then_reinsert_existing,insert_avg_ns,2000000,2M,400000,2000000,,4251.0,5970.0,0.7120603015075377,avlhashtree
build_then_reinsert_existing,insert_avg_ns,5000000,5M,1000000,5000000,,5124.0,6878.0,0.7449840069787729,avlhashtree
build_then_reinsert_existing,insert_avg_ns,10000000,10M,2000000,10000000,,5916.0,7741.0,0.7642423459501356,avlhashtree
build_then_reinsert_existing,insert_avg_ns,25000000,25M,5000000,25000000,,7053.0,9280.0,0.7600215517241379,avlhashtree
