TreeType,Scenario,PrebuildElements,FinalElements,InsertElements,InsertTime(ns),AvgPerBlock(ns),InsertTimeBuckets,MemAllocMB,TotalAllocMB,HeapObjects,CreatedHeapObjects,FreedHeapObjects,NetLiveHeapObjectChange,InclusionProofTotal(ns),InclusionProofGen(ns),InclusionProofSize(bytes),InclusionProofVerify(ns),ExclusionProofTotal(ns),ExclusionProofGen(ns),ExclusionProofSize(bytes),ExclusionProofVerify(ns),DeleteElements,DeleteTime(ns),AvgDeletePerBlock(ns),DeleteMemAllocMB,DeleteTotalAllocMB,DeleteHeapObjects,DeletesCreatedHeapObjects,DeletesFreedHeapObjects,DeletesNetLiveHeapObjectChange
avlhashtree,build_700k_then_add_140k_new,700000,840000,140000,594517199,4246,"0-10%=4.633µs(n=14000)|10-20%=4.33µs(n=14000)|20-30%=4.272µs(n=14000)|30-40%=4.266µs(n=14000)|40-50%=4.226µs(n=14000)|50-60%=4.109µs(n=14000)|60-70%=4.124µs(n=14000)|70-80%=4.134µs(n=14000)|80-90%=4.187µs(n=14000)|90-100%=4.18µs(n=14000)",40.63,40.63,4550787,1120051,70001,1050050,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_900k_then_add_180k_new,900000,1080000,180000,872478753,4847,"0-10%=5.594µs(n=18000)|10-20%=5.154µs(n=18000)|20-30%=5.048µs(n=18000)|30-40%=4.764µs(n=18000)|40-50%=4.713µs(n=18000)|50-60%=4.63µs(n=18000)|60-70%=4.867µs(n=18000)|70-80%=4.597µs(n=18000)|80-90%=4.55µs(n=18000)|90-100%=4.548µs(n=18000)",52.23,52.23,5850795,1440048,90001,1350047,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_1m_then_add_200k_new,1000000,1200000,200000,934118856,4670,"0-10%=5.519µs(n=20000)|10-20%=4.882µs(n=20000)|20-30%=4.702µs(n=20000)|30-40%=4.624µs(n=20000)|40-50%=4.504µs(n=20000)|50-60%=4.504µs(n=20000)|60-70%=4.506µs(n=20000)|70-80%=4.499µs(n=20000)|80-90%=4.482µs(n=20000)|90-100%=4.48µs(n=20000)",58.03,58.03,6500799,1600054,100001,1500053,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_2m_then_add_400k_new,2000000,2400000,400000,2244042573,5610,"0-10%=5.87µs(n=40000)|10-20%=5.442µs(n=40000)|20-30%=5.554µs(n=40000)|30-40%=5.643µs(n=40000)|40-50%=5.692µs(n=40000)|50-60%=5.575µs(n=40000)|60-70%=5.432µs(n=40000)|70-80%=5.619µs(n=40000)|80-90%=5.732µs(n=40000)|90-100%=5.537µs(n=40000)",116.06,116.06,13000812,3200061,200001,3000060,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_5m_then_add_1m_new,5000000,6000000,1000000,6415937899,6415,"0-10%=6.831µs(n=100000)|10-20%=6.297µs(n=100000)|20-30%=6.466µs(n=100000)|30-40%=6.436µs(n=100000)|40-50%=6.409µs(n=100000)|50-60%=6.434µs(n=100000)|60-70%=6.419µs(n=100000)|70-80%=6.268µs(n=100000)|80-90%=6.26µs(n=100000)|90-100%=6.333µs(n=100000)",290.16,290.16,32500845,8000085,500001,7500084,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_10m_then_add_2m_new,10000000,12000000,2000000,14260755051,7130,"0-10%=7.605µs(n=200000)|10-20%=7.239µs(n=200000)|20-30%=7.245µs(n=200000)|30-40%=7.189µs(n=200000)|40-50%=7.079µs(n=200000)|50-60%=6.948µs(n=200000)|60-70%=6.954µs(n=200000)|70-80%=6.8µs(n=200000)|80-90%=7.115µs(n=200000)|90-100%=7.124µs(n=200000)",580.35,580.35,65000882,16000116,1000002,15000114,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_25m_then_add_5m_new,25000000,30000000,5000000,41734569612,8346,"0-10%=8.573µs(n=500000)|10-20%=8.48µs(n=500000)|20-30%=8.324µs(n=500000)|30-40%=7.749µs(n=500000)|40-50%=8.204µs(n=500000)|50-60%=8.324µs(n=500000)|60-70%=8.339µs(n=500000)|70-80%=8.375µs(n=500000)|80-90%=8.448µs(n=500000)|90-100%=8.648µs(n=500000)",1451.15,1451.15,162501034,40000253,2500001,37500252,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_10k_then_reinsert_2k_existing,10000,10000,2000,3894785,1947,"0-10%=2.561µs(n=200)|10-20%=3.035µs(n=200)|20-30%=1.863µs(n=200)|30-40%=1.952µs(n=200)|40-50%=1.588µs(n=200)|50-60%=1.604µs(n=200)|60-70%=1.616µs(n=200)|70-80%=1.809µs(n=200)|80-90%=1.712µs(n=200)|90-100%=1.724µs(n=200)",0.29,0.29,61802,12036,1001,11035,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_50k_then_reinsert_10k_existing,50000,50000,10000,19513665,1951,"0-10%=1.658µs(n=1000)|10-20%=1.858µs(n=1000)|20-30%=1.986µs(n=1000)|30-40%=1.91µs(n=1000)|40-50%=1.895µs(n=1000)|50-60%=1.965µs(n=1000)|60-70%=2.107µs(n=1000)|70-80%=2.004µs(n=1000)|80-90%=1.955µs(n=1000)|90-100%=2.17µs(n=1000)",1.39,1.39,305819,60039,5001,55038,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_100k_then_reinsert_20k_existing,100000,100000,20000,42150189,2107,"0-10%=1.86µs(n=2000)|10-20%=1.984µs(n=2000)|20-30%=2.052µs(n=2000)|30-40%=2.11µs(n=2000)|40-50%=2.145µs(n=2000)|50-60%=2.152µs(n=2000)|60-70%=2.181µs(n=2000)|70-80%=2.184µs(n=2000)|80-90%=2.16µs(n=2000)|90-100%=2.243µs(n=2000)",2.76,2.76,610819,120039,10001,110038,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_200k_then_reinsert_40k_existing,200000,200000,40000,95876517,2396,"0-10%=2.086µs(n=4000)|10-20%=2.255µs(n=4000)|20-30%=2.324µs(n=4000)|30-40%=2.388µs(n=4000)|40-50%=2.425µs(n=4000)|50-60%=2.45µs(n=4000)|60-70%=2.485µs(n=4000)|70-80%=2.499µs(n=4000)|80-90%=2.514µs(n=4000)|90-100%=2.537µs(n=4000)",5.51,5.51,1220830,240039,20001,220038,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_300k_then_reinsert_60k_existing,300000,300000,60000,167116669,2785,"0-10%=2.303µs(n=6000)|10-20%=2.478µs(n=6000)|20-30%=2.591µs(n=6000)|30-40%=2.631µs(n=6000)|40-50%=2.643µs(n=6000)|50-60%=2.674µs(n=6000)|60-70%=2.712µs(n=6000)|70-80%=2.952µs(n=6000)|80-90%=3.578µs(n=6000)|90-100%=3.286µs(n=6000)",8.27,8.27,1830839,360048,30001,330047,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_500k_then_reinsert_100k_existing,500000,500000,100000,319843476,3198,"0-10%=3.484µs(n=10000)|10-20%=3.249µs(n=10000)|20-30%=3.08µs(n=10000)|30-40%=3.118µs(n=10000)|40-50%=3.114µs(n=10000)|50-60%=3.149µs(n=10000)|60-70%=3.166µs(n=10000)|70-80%=3.181µs(n=10000)|80-90%=3.215µs(n=10000)|90-100%=3.224µs(n=10000)",13.76,13.76,3050844,600050,50001,550049,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_700k_then_reinsert_140k_existing,700000,700000,140000,463084710,3307,"0-10%=2.941µs(n=14000)|10-20%=3.086µs(n=14000)|20-30%=3.229µs(n=14000)|30-40%=3.283µs(n=14000)|40-50%=3.341µs(n=14000)|50-60%=3.36µs(n=14000)|60-70%=3.393µs(n=14000)|70-80%=3.438µs(n=14000)|80-90%=3.479µs(n=14000)|90-100%=3.522µs(n=14000)",19.26,19.26,4270851,840052,70001,770051,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_900k_then_reinsert_180k_existing,900000,900000,180000,637039381,3539,"0-10%=3.217µs(n=18000)|10-20%=3.314µs(n=18000)|20-30%=3.325µs(n=18000)|30-40%=3.377µs(n=18000)|40-50%=3.373µs(n=18000)|50-60%=3.61µs(n=18000)|60-70%=3.89µs(n=18000)|70-80%=3.904µs(n=18000)|80-90%=3.713µs(n=18000)|90-100%=3.662µs(n=18000)",24.76,24.76,5490859,1080053,90001,990052,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_1m_then_reinsert_200k_existing,1000000,1000000,200000,715324376,3576,"0-10%=3.284µs(n=20000)|10-20%=3.379µs(n=20000)|20-30%=3.464µs(n=20000)|30-40%=3.486µs(n=20000)|40-50%=3.52µs(n=20000)|50-60%=3.577µs(n=20000)|60-70%=3.614µs(n=20000)|70-80%=3.779µs(n=20000)|80-90%=3.831µs(n=20000)|90-100%=3.828µs(n=20000)",27.51,27.51,6100860,1200045,100001,1100044,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_2m_then_reinsert_400k_existing,2000000,2000000,400000,1695766342,4239,"0-10%=3.719µs(n=40000)|10-20%=3.902µs(n=40000)|20-30%=4.111µs(n=40000)|30-40%=4.381µs(n=40000)|40-50%=4.358µs(n=40000)|50-60%=4.363µs(n=40000)|60-70%=4.307µs(n=40000)|70-80%=4.307µs(n=40000)|80-90%=4.531µs(n=40000)|90-100%=4.409µs(n=40000)",55.01,55.01,12200873,2400059,200001,2200058,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
avlhashtree,build_5m_then_reinsert_1m_existing,5000000,5000000,1000000,4994691632,4994,"0-10%=4.161µs(n=100000)|10-20%=4.538µs(n=100000)|20-30%=4.813µs(n=100000)|30-40%=4.831µs(n=100000)|40-50%=5.046µs(n=100000)|50-60%=5.088µs(n=100000)|60-70%=5.239µs(n=100000)|70-80%=5.311µs(n=100000)|80-90%=5.42µs(n=100000)|90-100%=5.494µs(n=100000)",137.52,137.52,30500902,6000074,500001,5500073,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
