TreeType,Scenario,PrebuildElements,FinalElements,InsertElements,InsertTime(ns),AvgPerBlock(ns),InsertTimeBuckets,MemAllocMB,TotalAllocMB,HeapObjects,InclusionProofTotal(ns),InclusionProofGen(ns),InclusionProofGenBuckets,InclusionProofSize(bytes),InclusionProofVerify(ns),ExclusionProofTotal(ns),ExclusionProofGen(ns),ExclusionProofGenBuckets,ExclusionProofSize(bytes),ExclusionProofVerify(ns),DeleteElements,DeleteTime(ns),AvgDeletePerBlock(ns),DeleteMemAllocMB,DeleteTotalAllocMB,DeleteHeapObjects
avlhashtree,build_900k,0,900000,900000,3450590258,3833,"0-10%=2.56µs(n=90000)|10-20%=3.004µs(n=90000)|20-30%=3.151µs(n=90000)|30-40%=3.738µs(n=90000)|40-50%=3.738µs(n=90000)|50-60%=4.373µs(n=90000)|60-70%=4.512µs(n=90000)|70-80%=4.324µs(n=90000)|80-90%=4.3µs(n=90000)|90-100%=4.634µs(n=90000)",212.24,288.54,4744838,12285457,1365,"0-10%=941ns(n=900)|10-20%=1.186µs(n=900)|20-30%=1.274µs(n=900)|30-40%=1.324µs(n=900)|40-50%=1.351µs(n=900)|50-60%=1.424µs(n=900)|60-70%=1.497µs(n=900)|70-80%=1.48µs(n=900)|80-90%=1.566µs(n=900)|90-100%=1.603µs(n=900)",2361,5408,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_1m,0,1000000,1000000,3898959877,3898,"0-10%=2.573µs(n=100000)|10-20%=3.028µs(n=100000)|20-30%=3.404µs(n=100000)|30-40%=3.611µs(n=100000)|40-50%=3.758µs(n=100000)|50-60%=4.501µs(n=100000)|60-70%=4.575µs(n=100000)|70-80%=4.289µs(n=100000)|80-90%=4.678µs(n=100000)|90-100%=4.568µs(n=100000)",241.60,320.60,5491784,14105310,1410,"0-10%=987ns(n=1000)|10-20%=1.225µs(n=1000)|20-30%=1.218µs(n=1000)|30-40%=1.38µs(n=1000)|40-50%=1.372µs(n=1000)|50-60%=1.482µs(n=1000)|60-70%=1.46µs(n=1000)|70-80%=1.546µs(n=1000)|80-90%=1.692µs(n=1000)|90-100%=1.737µs(n=1000)",2381,5278,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_2m,0,2000000,2000000,8998233190,4499,"0-10%=2.863µs(n=200000)|10-20%=3.561µs(n=200000)|20-30%=4.376µs(n=200000)|30-40%=4.363µs(n=200000)|40-50%=4.628µs(n=200000)|50-60%=4.598µs(n=200000)|60-70%=5.103µs(n=200000)|70-80%=5.266µs(n=200000)|80-90%=5.099µs(n=200000)|90-100%=5.13µs(n=200000)",508.66,641.24,11953987,37516250,1875,"0-10%=1.183µs(n=2000)|10-20%=1.491µs(n=2000)|20-30%=1.599µs(n=2000)|30-40%=1.629µs(n=2000)|40-50%=1.742µs(n=2000)|50-60%=1.795µs(n=2000)|60-70%=1.861µs(n=2000)|70-80%=1.951µs(n=2000)|80-90%=3.221µs(n=2000)|90-100%=2.282µs(n=2000)",2494,6700,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_5m,0,5000000,5000000,26586360692,5317,"0-10%=3.233µs(n=500000)|10-20%=4.256µs(n=500000)|20-30%=4.916µs(n=500000)|30-40%=5.298µs(n=500000)|40-50%=5.64µs(n=500000)|50-60%=5.738µs(n=500000)|60-70%=5.83µs(n=500000)|70-80%=6.037µs(n=500000)|80-90%=6.009µs(n=500000)|90-100%=6.211µs(n=500000)",1334.63,1603.11,32234975,148453160,2969,"0-10%=3.751µs(n=5000)|10-20%=2.221µs(n=5000)|20-30%=2.882µs(n=5000)|30-40%=2.968µs(n=5000)|40-50%=2.866µs(n=5000)|50-60%=2.946µs(n=5000)|60-70%=2.983µs(n=5000)|70-80%=2.925µs(n=5000)|80-90%=3.017µs(n=5000)|90-100%=3.126µs(n=5000)",2654,8845,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_10m,0,10000000,10000000,61006244411,6100,"0-10%=3.757µs(n=1000000)|10-20%=5.142µs(n=1000000)|20-30%=5.535µs(n=1000000)|30-40%=5.966µs(n=1000000)|40-50%=6.133µs(n=1000000)|50-60%=6.564µs(n=1000000)|60-70%=6.707µs(n=1000000)|70-80%=6.934µs(n=1000000)|80-90%=7.203µs(n=1000000)|90-100%=7.061µs(n=1000000)",2416.56,3206.39,54799107,313587200,3135,"0-10%=2.345µs(n=10000)|10-20%=2.883µs(n=10000)|20-30%=2.911µs(n=10000)|30-40%=3.143µs(n=10000)|40-50%=3.208µs(n=10000)|50-60%=3.316µs(n=10000)|60-70%=3.166µs(n=10000)|70-80%=3.322µs(n=10000)|80-90%=3.416µs(n=10000)|90-100%=3.644µs(n=10000)",2777,8367,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,build_25m,0,25000000,25000000,181658499577,7266,"0-10%=4.703µs(n=2500000)|10-20%=6.051µs(n=2500000)|20-30%=6.668µs(n=2500000)|30-40%=7.122µs(n=2500000)|40-50%=7.49µs(n=2500000)|50-60%=7.905µs(n=2500000)|60-70%=7.907µs(n=2500000)|70-80%=8.101µs(n=2500000)|80-90%=8.264µs(n=2500000)|90-100%=8.448µs(n=2500000)",6674.09,8017.19,161190554,1010497296,4041,"0-10%=6.48µs(n=25000)|10-20%=2.944µs(n=25000)|20-30%=3.577µs(n=25000)|30-40%=3.721µs(n=25000)|40-50%=3.729µs(n=25000)|50-60%=3.786µs(n=25000)|60-70%=3.961µs(n=25000)|70-80%=3.952µs(n=25000)|80-90%=4.052µs(n=25000)|90-100%=4.212µs(n=25000)",2935,10457,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,prehashed_ordered_build_10k,0,10000,10000,19420240,1942,"0-10%=1.468µs(n=1000)|10-20%=1.687µs(n=1000)|20-30%=1.789µs(n=1000)|30-40%=1.76µs(n=1000)|40-50%=1.91µs(n=1000)|50-60%=1.934µs(n=1000)|60-70%=2.945µs(n=1000)|70-80%=1.894µs(n=1000)|80-90%=2.016µs(n=1000)|90-100%=2.011µs(n=1000)",2.21,2.61,60396,36221,362,"0-10%=595ns(n=10)|10-20%=293ns(n=10)|20-30%=396ns(n=10)|30-40%=336ns(n=10)|40-50%=338ns(n=10)|50-60%=314ns(n=10)|60-70%=343ns(n=10)|70-80%=297ns(n=10)|80-90%=339ns(n=10)|90-100%=365ns(n=10)",1566,2955,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,prehashed_ordered_build_50k,0,50000,50000,107343847,2146,"0-10%=1.811µs(n=5000)|10-20%=1.93µs(n=5000)|20-30%=2.01µs(n=5000)|30-40%=2.287µs(n=5000)|40-50%=2.124µs(n=5000)|50-60%=2.139µs(n=5000)|60-70%=2.175µs(n=5000)|70-80%=2.244µs(n=5000)|80-90%=2.493µs(n=5000)|90-100%=2.251µs(n=5000)",10.28,13.01,265784,218567,437,"0-10%=432ns(n=50)|10-20%=414ns(n=50)|20-30%=418ns(n=50)|30-40%=380ns(n=50)|40-50%=403ns(n=50)|50-60%=368ns(n=50)|60-70%=656ns(n=50)|70-80%=423ns(n=50)|80-90%=360ns(n=50)|90-100%=513ns(n=50)",1834,3828,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,prehashed_ordered_build_100k,0,100000,100000,222946421,2229,"0-10%=1.905µs(n=10000)|10-20%=2.041µs(n=10000)|20-30%=2.146µs(n=10000)|30-40%=2.274µs(n=10000)|40-50%=2.214µs(n=10000)|50-60%=2.228µs(n=10000)|60-70%=2.281µs(n=10000)|70-80%=2.498µs(n=10000)|80-90%=2.359µs(n=10000)|90-100%=2.342µs(n=10000)",21.19,25.98,556724,551120,551,"0-10%=434ns(n=100)|10-20%=445ns(n=100)|20-30%=522ns(n=100)|30-40%=569ns(n=100)|40-50%=701ns(n=100)|50-60%=495ns(n=100)|60-70%=467ns(n=100)|70-80%=443ns(n=100)|80-90%=644ns(n=100)|90-100%=786ns(n=100)",1947,4188,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,prehashed_ordered_build_200k,0,200000,200000,470006508,2350,"0-10%=1.923µs(n=20000)|10-20%=2.199µs(n=20000)|20-30%=2.233µs(n=20000)|30-40%=2.352µs(n=20000)|40-50%=2.448µs(n=20000)|50-60%=2.39µs(n=20000)|60-70%=2.435µs(n=20000)|70-80%=2.505µs(n=20000)|80-90%=2.505µs(n=20000)|90-100%=2.506µs(n=20000)",45.76,51.92,1251960,1339922,669,"0-10%=549ns(n=200)|10-20%=681ns(n=200)|20-30%=702ns(n=200)|30-40%=1.746µs(n=200)|40-50%=472ns(n=200)|50-60%=526ns(n=200)|60-70%=552ns(n=200)|70-80%=498ns(n=200)|80-90%=456ns(n=200)|90-100%=514ns(n=200)",2071,5058,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,prehashed_ordered_build_300k,0,300000,300000,733264585,2444,"0-10%=2.04µs(n=30000)|10-20%=2.311µs(n=30000)|20-30%=2.375µs(n=30000)|30-40%=2.393µs(n=30000)|40-50%=2.535µs(n=30000)|50-60%=2.506µs(n=30000)|60-70%=2.504µs(n=30000)|70-80%=2.493µs(n=30000)|80-90%=2.518µs(n=30000)|90-100%=2.761µs(n=30000)",60.70,77.87,1551005,2293413,764,"0-10%=560ns(n=300)|10-20%=646ns(n=300)|20-30%=752ns(n=300)|30-40%=788ns(n=300)|40-50%=773ns(n=300)|50-60%=938ns(n=300)|60-70%=784ns(n=300)|70-80%=827ns(n=300)|80-90%=743ns(n=300)|90-100%=829ns(n=300)",2135,4685,0,0,"",0,0,0,0,0,0.00,0.00,0
avlhashtree,prehashed_ordered_build_500k,0,500000,500000,1284215889,2568,"0-10%=2.131µs(n=50000)|10-20%=2.378µs(n=50000)|20-30%=2.432µs(n=50000)|30-40%=2.502µs(n=50000)|40-50%=2.577µs(n=50000)|50-60%=2.746µs(n=50000)|60-70%=2.673µs(n=50000)|70-80%=2.716µs(n=50000)|80-90%=2.711µs(n=50000)|90-100%=2.814µs(n=50000)",99.81,129.76,2530341,5104068,1020,"0-10%=777ns(n=500)|10-20%=871ns(n=500)|20-30%=1.165µs(n=500)|30-40%=944ns(n=500)|40-50%=1.021µs(n=500)|50-60%=954ns(n=500)|60-70%=1.096µs(n=500)|70-80%=1.162µs(n=500)|80-90%=1.164µs(n=500)|90-100%=1.049µs(n=500)",2219,4957,0,0,"",0,0,0,0,0,0.00,0.00,0
