TreeType,Scenario,PrebuildElements,FinalElements,InsertElements,InsertTime(ns),AvgPerBlock(ns),InsertTimeBuckets,MemAllocMB,TotalAllocMB,HeapObjects,InclusionProofTotal(ns),InclusionProofGen(ns),InclusionProofGenBuckets,InclusionProofSize(bytes),InclusionProofVerify(ns),ExclusionProofTotal(ns),ExclusionProofGen(ns),ExclusionProofGenBuckets,ExclusionProofSize(bytes),ExclusionProofVerify(ns),DeleteElements,DeleteTime(ns),AvgDeletePerBlock(ns),DeleteMemAllocMB,DeleteTotalAllocMB,DeleteHeapObjects
smt,build_200k,0,200000,200000,645755526,3228,"0-10%=2.421µs(n=20000)|10-20%=2.768µs(n=20000)|20-30%=2.912µs(n=20000)|30-40%=3.048µs(n=20000)|40-50%=3.328µs(n=20000)|50-60%=3.331µs(n=20000)|60-70%=3.589µs(n=20000)|70-80%=3.658µs(n=20000)|80-90%=3.625µs(n=20000)|90-100%=3.602µs(n=20000)",114.07,143.11,2626577,6764656,3382,"0-10%=3.177µs(n=200)|10-20%=3.442µs(n=200)|20-30%=3.323µs(n=200)|30-40%=3.42µs(n=200)|40-50%=3.418µs(n=200)|50-60%=3.371µs(n=200)|60-70%=3.433µs(n=200)|70-80%=3.547µs(n=200)|80-90%=3.388µs(n=200)|90-100%=3.299µs(n=200)",796,3930,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_300k,0,300000,300000,1084330313,3614,"0-10%=3.006µs(n=30000)|10-20%=2.967µs(n=30000)|20-30%=3.137µs(n=30000)|30-40%=3.182µs(n=30000)|40-50%=3.496µs(n=30000)|50-60%=3.537µs(n=30000)|60-70%=3.615µs(n=30000)|70-80%=4.02µs(n=30000)|80-90%=4.35µs(n=30000)|90-100%=4.829µs(n=30000)",165.29,214.69,3753378,12591021,4197,"0-10%=4.207µs(n=300)|10-20%=4.284µs(n=300)|20-30%=4.007µs(n=300)|30-40%=4.068µs(n=300)|40-50%=4.203µs(n=300)|50-60%=4.204µs(n=300)|60-70%=4.366µs(n=300)|70-80%=4.469µs(n=300)|80-90%=4.192µs(n=300)|90-100%=3.964µs(n=300)",818,4211,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_500k,0,500000,500000,2165310073,4330,"0-10%=2.798µs(n=50000)|10-20%=3.516µs(n=50000)|20-30%=4.128µs(n=50000)|30-40%=4.563µs(n=50000)|40-50%=4.889µs(n=50000)|50-60%=4.596µs(n=50000)|60-70%=4.658µs(n=50000)|70-80%=4.984µs(n=50000)|80-90%=4.713µs(n=50000)|90-100%=4.457µs(n=50000)",279.36,357.81,6378329,19913336,3982,"0-10%=3.774µs(n=500)|10-20%=3.911µs(n=500)|20-30%=3.906µs(n=500)|30-40%=4.045µs(n=500)|40-50%=3.976µs(n=500)|50-60%=4.019µs(n=500)|60-70%=4.025µs(n=500)|70-80%=4.118µs(n=500)|80-90%=4.089µs(n=500)|90-100%=3.958µs(n=500)",847,4201,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_700k,0,700000,700000,3039063472,4341,"0-10%=2.743µs(n=70000)|10-20%=3.786µs(n=70000)|20-30%=3.607µs(n=70000)|30-40%=4.186µs(n=70000)|40-50%=4.133µs(n=70000)|50-60%=4.76µs(n=70000)|60-70%=4.651µs(n=70000)|70-80%=4.723µs(n=70000)|80-90%=5.081µs(n=70000)|90-100%=5.742µs(n=70000)",363.65,500.95,8057977,32689748,4669,"0-10%=4.449µs(n=700)|10-20%=4.59µs(n=700)|20-30%=4.772µs(n=700)|30-40%=4.698µs(n=700)|40-50%=4.617µs(n=700)|50-60%=4.718µs(n=700)|60-70%=4.656µs(n=700)|70-80%=4.745µs(n=700)|80-90%=4.675µs(n=700)|90-100%=4.774µs(n=700)",865,4528,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_900k,0,900000,900000,4328443268,4809,"0-10%=3.028µs(n=90000)|10-20%=3.989µs(n=90000)|20-30%=4.396µs(n=90000)|30-40%=4.329µs(n=90000)|40-50%=4.874µs(n=90000)|50-60%=4.611µs(n=90000)|60-70%=4.74µs(n=90000)|70-80%=6.38µs(n=90000)|80-90%=6.532µs(n=90000)|90-100%=5.21µs(n=90000)",505.73,644.10,11572136,38999496,4333,"0-10%=4.213µs(n=900)|10-20%=4.389µs(n=900)|20-30%=4.324µs(n=900)|30-40%=4.33µs(n=900)|40-50%=4.387µs(n=900)|50-60%=4.339µs(n=900)|60-70%=4.396µs(n=900)|70-80%=4.314µs(n=900)|80-90%=4.379µs(n=900)|90-100%=4.257µs(n=900)",878,4477,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_1m,0,1000000,1000000,4614604479,4614,"0-10%=2.87µs(n=100000)|10-20%=3.666µs(n=100000)|20-30%=4.152µs(n=100000)|30-40%=4.498µs(n=100000)|40-50%=4.728µs(n=100000)|50-60%=4.701µs(n=100000)|60-70%=5.53µs(n=100000)|70-80%=5.47µs(n=100000)|80-90%=5.236µs(n=100000)|90-100%=5.29µs(n=100000)",575.40,715.64,13284806,53183788,5318,"0-10%=3.393µs(n=1000)|10-20%=3.827µs(n=1000)|20-30%=4.401µs(n=1000)|30-40%=4.545µs(n=1000)|40-50%=4.401µs(n=1000)|50-60%=4.385µs(n=1000)|60-70%=4.414µs(n=1000)|70-80%=4.525µs(n=1000)|80-90%=4.398µs(n=1000)|90-100%=14.89µs(n=1000)",885,5002,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_2m,0,2000000,2000000,10749033916,5374,"0-10%=3.266µs(n=200000)|10-20%=4.697µs(n=200000)|20-30%=5.193µs(n=200000)|30-40%=5.686µs(n=200000)|40-50%=5.332µs(n=200000)|50-60%=5.867µs(n=200000)|60-70%=5.707µs(n=200000)|70-80%=5.531µs(n=200000)|80-90%=5.834µs(n=200000)|90-100%=6.628µs(n=200000)",1038.75,1431.26,23013208,93245908,4662,"0-10%=4.523µs(n=2000)|10-20%=4.58µs(n=2000)|20-30%=4.658µs(n=2000)|30-40%=4.624µs(n=2000)|40-50%=4.671µs(n=2000)|50-60%=4.686µs(n=2000)|60-70%=4.663µs(n=2000)|70-80%=4.668µs(n=2000)|80-90%=4.733µs(n=2000)|90-100%=4.813µs(n=2000)",922,4737,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_5m,0,5000000,5000000,30737163149,6147,"0-10%=4.035µs(n=500000)|10-20%=5.291µs(n=500000)|20-30%=5.668µs(n=500000)|30-40%=5.851µs(n=500000)|40-50%=6.687µs(n=500000)|50-60%=6.4µs(n=500000)|60-70%=6.481µs(n=500000)|70-80%=7.038µs(n=500000)|80-90%=7.178µs(n=500000)|90-100%=6.842µs(n=500000)",2770.36,3578.14,62987432,275498461,5509,"0-10%=5.242µs(n=5000)|10-20%=5.378µs(n=5000)|20-30%=5.389µs(n=5000)|30-40%=5.357µs(n=5000)|40-50%=5.404µs(n=5000)|50-60%=5.396µs(n=5000)|60-70%=5.378µs(n=5000)|70-80%=5.424µs(n=5000)|80-90%=5.451µs(n=5000)|90-100%=6.678µs(n=5000)",973,4889,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_10m,0,10000000,10000000,70504555735,7050,"0-10%=4.659µs(n=1000000)|10-20%=5.984µs(n=1000000)|20-30%=6.408µs(n=1000000)|30-40%=6.58µs(n=1000000)|40-50%=7.236µs(n=1000000)|50-60%=7.253µs(n=1000000)|60-70%=7.666µs(n=1000000)|70-80%=8.364µs(n=1000000)|80-90%=8.09µs(n=1000000)|90-100%=8.258µs(n=1000000)",5581.79,7156.49,127269043,855533137,8555,"0-10%=8.327µs(n=10000)|10-20%=8.66µs(n=10000)|20-30%=8.649µs(n=10000)|30-40%=8.951µs(n=10000)|40-50%=8.394µs(n=10000)|50-60%=8.417µs(n=10000)|60-70%=8.433µs(n=10000)|70-80%=8.533µs(n=10000)|80-90%=8.594µs(n=10000)|90-100%=8.591µs(n=10000)",1011,7174,0,0,"",0,0,0,0,0,0.00,0.00,0
smt,build_25m,0,25000000,25000000,209296387756,8371,"0-10%=5.556µs(n=2500000)|10-20%=6.79µs(n=2500000)|20-30%=7.509µs(n=2500000)|30-40%=8.212µs(n=2500000)|40-50%=8.558µs(n=2500000)|50-60%=8.796µs(n=2500000)|60-70%=9.613µs(n=2500000)|70-80%=9.341µs(n=2500000)|80-90%=9.56µs(n=2500000)|90-100%=9.78µs(n=2500000)",14695.10,17892.46,341629502,3213612865,12854,"0-10%=9.354µs(n=25000)|10-20%=29.554µs(n=25000)|20-30%=27.21µs(n=25000)|30-40%=5.919µs(n=25000)|40-50%=8.495µs(n=25000)|50-60%=9.367µs(n=25000)|60-70%=9.658µs(n=25000)|70-80%=9.669µs(n=25000)|80-90%=9.659µs(n=25000)|90-100%=9.655µs(n=25000)",1061,11308,0,0,"",0,0,0,0,0,0.00,0.00,0
